epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008813,0.005117,-2.132923,-2.657021,0.992944,36.387173
2,0.000659,0.003255,0.002174,1.216938,0.683954,1.014948,35.477879
3,0.000993,0.002064,0.001962,2.027821,1.722104,1.011856,35.039970
4,0.000999,0.002106,0.001956,1.802562,1.562680,1.010588,35.623043
5,0.000997,0.001888,0.001717,2.483999,2.317001,0.992521,35.097984
6,0.000993,0.001550,0.001683,3.353889,2.789650,0.959387,35.115313
7,0.000988,0.001653,0.001943,1.631848,1.447815,1.017434,35.190797
8,0.000981,0.001447,0.001379,3.265386,3.108497,1.007508,34.978864
9,0.000973,0.001376,0.001475,3.409772,3.260722,1.011282,34.333731
10,0.000963,0.001359,0.001836,2.486060,2.090283,1.040993,34.806182
11,0.000952,0.001486,0.001389,3.345350,3.079981,0.992011,34.497255
12,0.000940,0.001467,0.001236,4.124846,3.976952,1.000924,33.796668
13,0.000926,0.001342,0.001341,3.327816,3.193824,1.002293,33.355606
14,0.000911,0.001357,0.001444,3.817873,3.659545,0.984435,34.466431
15,0.000895,0.001343,0.001271,4.050523,3.892695,1.005096,34.289245
16,0.000877,0.001241,0.001297,3.457208,3.352833,0.998939,34.725893
17,0.000859,0.001262,0.001322,3.555688,3.399355,1.008290,35.147070
18,0.000839,0.001132,0.001260,4.066775,3.912536,1.002412,34.937614
19,0.000818,0.001256,0.001261,3.612060,3.503694,0.991961,35.031346
20,0.000797,0.001186,0.001383,3.056895,2.921791,1.009905,34.737137
21,0.000774,0.001158,0.001227,3.956349,3.524237,1.023093,36.823715
22,0.000751,0.001050,0.001173,4.231748,4.114268,0.997464,35.850314
23,0.000726,0.000984,0.001365,3.345208,3.228229,1.002314,34.910466
24,0.000701,0.001085,0.001493,3.035761,2.872287,1.021436,35.080491
25,0.000676,0.001098,0.001373,3.375560,3.248038,1.004149,34.035169
26,0.000650,0.001107,0.001193,3.942497,3.664740,1.020200,33.683371
27,0.000623,0.001035,0.001392,3.368837,3.255444,1.008413,34.248793
28,0.000596,0.001161,0.001184,3.948808,3.730926,1.016880,34.907520
29,0.000569,0.000986,0.001092,4.113536,3.959397,1.009033,34.526748
30,0.000542,0.000983,0.001320,3.885198,3.663414,1.012807,34.748446
31,0.000514,0.000999,0.001280,3.510298,3.247221,1.023746,34.733824
32,0.000487,0.000984,0.001118,4.488403,4.281548,1.018030,33.750087
33,0.000459,0.000997,0.001140,4.083200,3.953275,1.009793,33.907124
34,0.000432,0.000929,0.001127,4.190573,3.992601,1.014513,34.609100
35,0.000405,0.000935,0.001113,4.052388,3.916987,1.009140,34.764882
36,0.000378,0.000967,0.001304,2.815285,2.657613,1.013750,34.736052
37,0.000351,0.000965,0.001270,3.264944,3.057423,1.020841,35.657583
38,0.000325,0.000962,0.001225,3.761626,3.531540,1.024034,35.936781
39,0.000300,0.000947,0.001214,3.876678,3.582692,1.026215,35.892701
40,0.000275,0.000854,0.001106,3.890998,3.732501,1.012167,35.862193
41,0.000251,0.000885,0.001140,3.912151,3.702284,1.018978,37.342857
42,0.000227,0.000880,0.001392,3.334438,3.065537,1.028260,37.473853
43,0.000204,0.000832,0.001436,2.646418,2.368995,1.029590,37.487334
44,0.000183,0.000900,0.001155,3.810999,3.658145,1.013525,38.414690
